Directorate,Question Text,Question Text Group,Response Answer,Assignment Category,Person Number,Termination Date,Allocation Date,User Person Type,Enterprise Hire Date,Month,Response Text,Response Date and Time,Grade Name,Length Of Service
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Disagree,Standard full time,123456,31/03/2023,10/02/2023,Permanent,31/07/1978,2023 / 02,,20/02/2023,Scale H,44.69589041
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Agree,Standard full time,123456,31/03/2023,10/02/2023,Permanent,31/07/1978,2023 / 02,,20/02/2023,Scale H,44.69589041
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Disagree,Standard full time,123456,31/03/2023,10/02/2023,Permanent,31/07/1978,2023 / 02,,20/02/2023,Scale H,44.69589041
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Disagree,Standard full time,123456,31/03/2023,10/02/2023,Permanent,31/07/1978,2023 / 02,,20/02/2023,Scale H,44.69589041
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Prefer not to say,Standard full time,123456,31/03/2023,10/02/2023,Permanent,31/07/1978,2023 / 02,,20/02/2023,Scale H,44.69589041
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Standard part time,987654,11/07/2023,06/04/2023,Permanent,13/09/1982,2023 / 05,,02/05/2023,Scale E,40.85205479
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard part time,987654,11/07/2023,06/04/2023,Permanent,13/09/1982,2023 / 05,,02/05/2023,Scale E,40.85205479
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard part time,987654,11/07/2023,06/04/2023,Permanent,13/09/1982,2023 / 05,,02/05/2023,Scale E,40.85205479
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard part time,987654,11/07/2023,06/04/2023,Permanent,13/09/1982,2023 / 05,,02/05/2023,Scale E,40.85205479
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard part time,987654,11/07/2023,06/04/2023,Permanent,13/09/1982,2023 / 05,,02/05/2023,Scale E,40.85205479
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Standard full time,546123,24/05/2023,21/02/2023,Permanent,23/05/1983,2023 / 03,,17/03/2023,Scale F,40.03013699
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,546123,24/05/2023,21/02/2023,Permanent,23/05/1983,2023 / 03,,17/03/2023,Scale F,40.03013699
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,546123,24/05/2023,21/02/2023,Permanent,23/05/1983,2023 / 03,,17/03/2023,Scale F,40.03013699
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Agree,Standard full time,546123,24/05/2023,21/02/2023,Permanent,23/05/1983,2023 / 03,,17/03/2023,Scale F,40.03013699
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Agree,Standard full time,546123,24/05/2023,21/02/2023,Permanent,23/05/1983,2023 / 03,,17/03/2023,Scale F,40.03013699
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Prefer not to say,Standard part time,234567,02/01/2024,16/03/2023,Fixed-term,05/08/1985,2023 / 03,,16/03/2023,Scale E,0.501369863
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard part time,234567,02/01/2024,16/03/2023,Fixed-term,05/08/1985,2023 / 03,,16/03/2023,Scale E,0.501369863
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Disagree,Standard part time,234567,02/01/2024,16/03/2023,Fixed-term,05/08/1985,2023 / 03,,16/03/2023,Scale E,0.501369863
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Disagree,Standard part time,234567,02/01/2024,16/03/2023,Fixed-term,05/08/1985,2023 / 03,,16/03/2023,Scale E,0.501369863
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Strongly Disagree,Standard part time,234567,02/01/2024,16/03/2023,Fixed-term,05/08/1985,2023 / 03,,16/03/2023,Scale E,0.501369863
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Disagree,Standard full time,345678,16/06/2023,14/04/2023,Permanent,11/11/2002,2023 / 05,,02/05/2023,Scale D,20.60821918
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,345678,16/06/2023,14/04/2023,Permanent,11/11/2002,2023 / 05,,02/05/2023,Scale D,20.60821918
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,345678,16/06/2023,14/04/2023,Permanent,11/11/2002,2023 / 05,,02/05/2023,Scale D,20.60821918
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,345678,16/06/2023,14/04/2023,Permanent,11/11/2002,2023 / 05,,02/05/2023,Scale D,20.60821918
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,345678,16/06/2023,14/04/2023,Permanent,11/11/2002,2023 / 05,,02/05/2023,Scale D,20.60821918
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard full time,456789,25/09/2023,30/06/2023,Permanent,14/05/2013,2023 / 07,,13/07/2023,Scale D,10.37260274
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,456789,25/09/2023,30/06/2023,Permanent,14/05/2013,2023 / 07,,13/07/2023,Scale D,10.37260274
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Disagree,Standard full time,456789,25/09/2023,30/06/2023,Permanent,14/05/2013,2023 / 07,,13/07/2023,Scale D,10.37260274
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,456789,25/09/2023,30/06/2023,Permanent,14/05/2013,2023 / 07,,13/07/2023,Scale D,10.37260274
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,456789,25/09/2023,30/06/2023,Permanent,14/05/2013,2023 / 07,,13/07/2023,Scale D,10.37260274
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Prefer not to say,Standard full time,567891,19/11/2023,06/09/2023,Permanent,01/07/1976,2023 / 09,,11/09/2023,Scale I,47.41643836
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,567891,19/11/2023,06/09/2023,Permanent,01/07/1976,2023 / 09,,11/09/2023,Scale I,47.41643836
