Directorate,Question Text,Response Answer,Response Score,Question Status,Assignment Category,Person Number,User Person Type,System Person Type,Enterprise Hire Date,Month,Response Text,Response (%),Response Status,Grade Name,Length Of Service,LOS Bands
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Disagree,,Active,Standard full time,523456,Permanent,Employee,31/07/1978,2023 / 02,,1,Submitted,Scale H,44.69589041,40 - 50 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard full time,523456,Permanent,Employee,31/07/1978,2023 / 02,,1,Submitted,Scale H,44.69589041,40 - 50 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Disagree,,Active,Standard full time,523456,Permanent,Employee,31/07/1978,2023 / 02,,1,Submitted,Scale H,44.69589041,40 - 50 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Disagree,,Active,Standard full time,523456,Permanent,Employee,31/07/1978,2023 / 02,,1,Submitted,Scale H,44.69589041,40 - 50 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Prefer not to say,,Active,Standard full time,523456,Permanent,Employee,31/07/1978,2023 / 02,,1,Submitted,Scale H,44.69589041,40 - 50 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard part time,987654,Permanent,Employee,13/09/1982,2023 / 05,,1,Submitted,Scale E,40.85205479,40 - 50 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard part time,987654,Permanent,Employee,13/09/1982,2023 / 05,,1,Submitted,Scale E,40.85205479,40 - 50 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,546523,Permanent,Employee,23/05/1983,2023 / 03,,1,Submitted,Scale F,40.03013699,40 - 50 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,546523,Permanent,Employee,23/05/1983,2023 / 03,,1,Submitted,Scale F,40.03013699,40 - 50 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,546523,Permanent,Employee,23/05/1983,2023 / 03,,1,Submitted,Scale F,40.03013699,40 - 50 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,546523,Permanent,Employee,23/05/1983,2023 / 03,,1,Submitted,Scale F,40.03013699,40 - 50 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,546523,Permanent,Employee,23/05/1983,2023 / 03,,1,Submitted,Scale F,40.03013699,40 - 50 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Disagree,,Active,Standard part time,234567,Fixed-term,Employee,05/08/1985,2023 / 03,,1,Submitted,Scale E,0.501369863,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Disagree,,Active,Standard part time,234567,Fixed-term,Employee,05/08/1985,2023 / 03,,1,Submitted,Scale E,0.501369863,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,345678,Permanent,Employee,11/11/2002,2023 / 05,,1,Submitted,Scale D,20.60821918,20 - 30 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,345678,Permanent,Employee,11/11/2002,2023 / 05,,1,Submitted,Scale D,20.60821918,20 - 30 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Disagree,,Active,Standard full time,456789,Permanent,Employee,14/05/2013,2023 / 07,,1,Submitted,Scale D,10.37260274,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,456789,Permanent,Employee,14/05/2013,2023 / 07,,1,Submitted,Scale D,10.37260274,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,567895,Permanent,Employee,01/07/1976,2023 / 09,,1,Submitted,Scale I,47.41643836,40 - 50 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Prefer not to say,,Active,Standard full time,567895,Permanent,Employee,01/07/1976,2023 / 09,,1,Submitted,Scale I,47.41643836,40 - 50 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Disagree,,Active,Standard part time,678952,Permanent,Employee,11/03/1993,2022 / 11,,1,Submitted,Scale I,29.68493151,20 - 30 Years
